Feature,Coefficient_Score,Permutation_Score,Correlation_Score,Combined_Score
thalach,0.8486171195369864,0.8684210526315788,0.8620647714050967,0.8597009811912207
sex,0.8907193498488533,0.8684210526315789,0.5881280134109729,0.782422805297135
ca,0.7261212292186956,0.736842105263158,0.7804529957674784,0.747805443416444
oldpeak,0.4124977400373875,1.0,0.797966988122854,0.7368215760534138
cp,1.0,0.18421052631578963,1.0,0.7280701754385964
thal,0.5283950763032624,0.8421052631578944,0.7259709548968375,0.6988237647859981
exang,0.522351748859293,0.5789473684210525,0.9102571241349076,0.6705187471384176
slope,0.3207544771005444,0.9736842105263155,0.5884938409947547,0.6276441762072048
trestbps,0.3817910969237582,0.6315789473684212,0.21481325209338928,0.40939443212852283
chol,0.2756471260029676,0.473684210526316,0.24090128558981225,0.33007754070636525
restecg,0.2260966745974327,0.21052631578947384,0.24596055710821446,0.22752784916504032
age,0.08970949271988868,0.0789473684210527,0.33230743619747233,0.16698809911280454
fbs,0.11826203857832668,0.13157894736842116,0.0934270554370988,0.11442268046128222
